bait,prey,t,corr
PSMC4,PSMD5,G1.median,0.870190108717542
PSMC4,PSMD6,G1.median,0.490757444926569
PSMC4,PSMD7,G1.median,0.863852994202138
PSMC4,PSMD8,G1.median,-0.27051251521533
PSMC4,PSMD9,G1.median,-0.202694329120904
PSMC4,PSME1,G1.median,0.074748348788807
PSMC4,PSME2,G1.median,-0.251119513457463
PSMC4,PSME3,G1.median,-0.162508739782845
PSMC4,PSME4,G1.median,0.622121122520339
PSMC4,PSMG1,G1.median,0.0395748691759297
PSMC4,PSMG2,G1.median,-0.0998026272924735
PSMC4,PSMG3,G1.median,-0.256659569914838
PSMC4,PSMG4,G1.median,0.727339733169703
PSMC5,PSMC6,G1.median,0.975390272777093
PSMC5,PSMD1,G1.median,0.91871618737878
PSMC5,PSMD10,G1.median,-0.419567595954857
PSMC5,PSMD11,G1.median,0.967068985420965
PSMC5,PSMD12,G1.median,0.778046878377177
PSMC5,PSMD13,G1.median,0.875043333368213
PSMC5,PSMD14,G1.median,0.878342102559455
PSMC5,PSMD2,G1.median,0.972954295396819
