bait,prey,distance,stage
PSMA2,PSMC1,0.660242484960529,G1
PSMA3,PSMC1,0.896609110277975,G1
PSMA4,PSMC1,0.728128371675379,G1
PSMA5,PSMC1,0.665506511464286,G1
PSMA6,PSMC1,0.734271235992486,G1
PSMA7,PSMC1,0.687440796146336,G1
PSMB1,PSMC1,0.787074078832793,G1
PSMB10,PSMC1,1.44028368948234,G1
PSMB2,PSMC1,0.825109790316092,G1
PSMB3,PSMC1,0.732804199893665,G1
PSMB4,PSMC1,0.79235277556932,G1
PSMB5,PSMC1,0.803551263626255,G1
PSMB6,PSMC1,0.717937834068699,G1
PSMB7,PSMC1,0.797496756627013,G1
PSMB9,PSMC1,1.43191974729771,G1
PSMA1,PSMC2,0.637138709402514,G1
PSMA2,PSMC2,0.536454794121268,G1
PSMA3,PSMC2,0.732333955158872,G1
PSMA4,PSMC2,0.715965038359553,G1
PSMA5,PSMC2,0.60902465966802,G1
PSMA6,PSMC2,0.723272004809077,G1
PSMA7,PSMC2,0.61553240189714,G1
PSMB1,PSMC2,0.701609428058919,G1
PSMB10,PSMC2,1.51577884385928,G1
PSMB2,PSMC2,0.706090082540935,G1
PSMB3,PSMC2,0.714567331587628,G1
PSMB4,PSMC2,0.659924461046685,G1
PSMB5,PSMC2,0.731840626978197,G1
PSMB6,PSMC2,0.66494971222299,G1
PSMB7,PSMC2,0.767936493575766,G1
PSMB9,PSMC2,1.45859892222955,G1
PSMC1,PSMC2,0.160514410284355,G1
PSMA1,PSMC3,0.849000419873241,G1
PSMA2,PSMC3,0.76751942386136,G1
PSMA3,PSMC3,0.949685440720216,G1
PSMA4,PSMC3,0.89169189085002,G1
PSMA5,PSMC3,0.842153951984072,G1
PSMA6,PSMC3,0.897777698426601,G1
PSMA7,PSMC3,0.80824558015183,G1
PSMB1,PSMC3,0.91263366510531,G1
PSMB10,PSMC3,1.61287067467807,G1
PSMB2,PSMC3,0.911535740809835,G1
PSMB3,PSMC3,0.901399476729266,G1
PSMB4,PSMC3,0.853973566887439,G1
PSMB5,PSMC3,0.913914690748663,G1
PSMB6,PSMC3,0.875041483506709,G1
PSMB7,PSMC3,0.950937481123723,G1
PSMB9,PSMC3,1.84091922553314,G1
PSMC1,PSMC3,0.323197002297943,G1
PSMC2,PSMC3,0.312324738998779,G1
PSMA1,PSMC4,0.665617038072818,G1
PSMA2,PSMC4,0.578003295420174,G1
PSMA3,PSMC4,0.781657925023059,G1
PSMA4,PSMC4,0.706618294372352,G1
PSMA5,PSMC4,0.590715755800334,G1
PSMA6,PSMC4,0.768556319537508,G1
PSMA7,PSMC4,0.608941491556158,G1
PSMB1,PSMC4,0.749608009184823,G1
PSMB10,PSMC4,1.57328581003882,G1
PSMB2,PSMC4,0.761199020366937,G1
PSMB3,PSMC4,0.725754844736,G1
PSMB4,PSMC4,0.740910340130771,G1
PSMB5,PSMC4,0.835992856761655,G1
PSMB6,PSMC4,0.730544187288027,G1
PSMB7,PSMC4,0.802047355472847,G1
PSMB9,PSMC4,1.52520263333701,G1
PSMC1,PSMC4,0.151148374139043,G1
PSMC2,PSMC4,0.172694885347281,G1
PSMC3,PSMC4,0.291647066628532,G1
PSMA1,PSMC5,0.672000173275539,G1
PSMA2,PSMC5,0.592755499451297,G1
PSMA3,PSMC5,0.776838405890581,G1
PSMA4,PSMC5,0.698312696254627,G1
PSMA5,PSMC5,0.62597215886507,G1
PSMA6,PSMC5,0.771323722496328,G1
PSMA7,PSMC5,0.633490314446487,G1
PSMB1,PSMC5,0.748311938761773,G1
PSMB10,PSMC5,1.55174904182801,G1
PSMB2,PSMC5,0.708882096308592,G1
PSMB3,PSMC5,0.736882293643748,G1
PSMB4,PSMC5,0.705573884741976,G1
PSMB5,PSMC5,0.768106819970171,G1
PSMB6,PSMC5,0.718659326599928,G1
PSMB7,PSMC5,0.807809201794646,G1
PSMB9,PSMC5,1.55885764588159,G1
PSMC1,PSMC5,0.179777991419142,G1
PSMC2,PSMC5,0.152119479428504,G1
PSMC3,PSMC5,0.256178347844241,G1
PSMC4,PSMC5,0.144723696206543,G1
PSMA1,PSMC6,0.807944180754375,G1
PSMA2,PSMC6,0.768591247138326,G1
PSMA3,PSMC6,0.907257755323504,G1
PSMA4,PSMC6,0.897164899110941,G1
PSMA5,PSMC6,0.857957586415925,G1
PSMA6,PSMC6,0.935167494000014,G1
PSMA7,PSMC6,0.842686568807471,G1
PSMB1,PSMC6,0.889596343733132,G1
PSMB10,PSMC6,1.76603693311274,G1
PSMB2,PSMC6,0.799899923675996,G1
PSMB3,PSMC6,0.932586538080311,G1
PSMB4,PSMC6,0.856095657302521,G1
PSMB5,PSMC6,0.905910766217073,G1
PSMB6,PSMC6,0.865647337031416,G1
PSMB7,PSMC6,0.965907229815147,G1
PSMB9,PSMC6,1.77105114095793,G1
PSMC1,PSMC6,0.627815454738681,G1
PSMC2,PSMC6,0.294775309683569,G1
PSMC3,PSMC6,0.370196191542213,G1
PSMC4,PSMC6,0.554065063012874,G1
PSMC5,PSMC6,0.248115566816955,G1
PSMA1,PSMD1,0.517903301424361,G1
PSMA2,PSMD1,0.460946700228884,G1
PSMA3,PSMD1,0.683582382182889,G1
PSMA4,PSMD1,0.536615229477627,G1
PSMA5,PSMD1,0.492351190334357,G1
PSMA6,PSMD1,0.543189891969038,G1
PSMA7,PSMD1,0.462135356790644,G1
PSMB1,PSMD1,0.588565365236749,G1
PSMB10,PSMD1,1.29648314691407,G1
PSMB2,PSMD1,0.664789741695002,G1
PSMB3,PSMD1,0.52090103810949,G1
PSMB4,PSMD1,0.587125031771096,G1
PSMB5,PSMD1,0.628624043889564,G1
PSMB6,PSMD1,0.543715588458123,G1
PSMB7,PSMD1,0.594839232709748,G1
PSMB9,PSMD1,1.11750519903795,G1
PSMC1,PSMD1,0.297152686969351,G1
PSMC2,PSMD1,0.320518167755552,G1
PSMC3,PSMD1,0.448988746003715,G1
PSMC4,PSMD1,0.285611391498482,G1
PSMC5,PSMD1,0.312775658601406,G1
PSMC6,PSMD1,0.71198526528755,G1
PSMA1,PSMD10,0.27618873618254,G1
