,gene_name,Temperature,G1_S.median,earlyS.median,lateS.median,S_G2.median,M.median,G1.median
10570,EEF1D,55.5,1.0,0.877261524186329,0.870356142066649,0.966726997545176,0.948760888753821,1.27249331490995
10571,EEF1D,58.6,1.0,0.924618740969598,0.926666394461664,0.944016862761012,1.48563890908112,1.29225714510537
10572,EEF1D,62.0,1.0,1.13673025956905,0.998227350505843,1.17073153746966,2.43018588591513,2.13871279606558
10574,EEF1E1,37.0,1.0,0.884182134377638,0.929213446256073,0.97135144796217,1.01785408233623,1.1974592820712
10575,EEF1E1,40.4,1.0,0.969533133121203,1.1331370884536,1.0304501265913,1.05000874230699,1.19645773232669
10576,EEF1E1,44.0,1.0,0.853196182324282,1.07273461336868,0.919146189345233,1.01644288912255,1.01704966175525
10577,EEF1E1,46.9,1.0,0.948754046259221,0.952471585348614,1.03751902446593,1.00048811310185,1.40515800152006
10578,EEF1E1,49.8,1.0,0.944321183708699,0.954253109217105,0.823406364253796,1.11557552343214,1.1812018389479
10582,EEF1G,37.0,1.0,0.980960261320886,1.00881520561013,0.95367865518683,0.982800110613153,1.1140893208355
10583,EEF1G,40.4,1.0,1.08163471722419,0.992811372512845,1.02929396876456,1.06765817700382,1.17926116381667
10584,EEF1G,44.0,1.0,0.992237099800678,0.986801552965073,1.00033945703403,0.993221869793666,1.04085166203373
10585,EEF1G,46.9,1.0,1.02676053765536,1.00871525118921,0.989389511331205,0.910807009292365,0.983714985083921
10586,EEF1G,49.8,1.0,0.92832910206107,0.939148546741794,0.933277857463045,0.855191332196977,0.926866431612494
10587,EEF1G,52.9,1.0,0.742146204094101,0.802384771503376,0.835440400320821,0.959064373553491,0.970185659732312
10588,EEF1G,55.5,1.0,0.859383273226,0.768308104143131,0.898202953710472,0.911231213087716,0.969938872194919
10589,EEF1G,58.6,1.0,1.01625144870922,0.958102651903349,0.980449685811335,1.14817265909243,1.27861697030183
10590,EEF1G,62.0,1.0,0.866873963459631,0.978593901784367,0.881956432806851,1.48037281194045,1.0520265278755
10591,EEF1G,66.3,1.0,1.03592088786433,1.09535630759711,1.31914561535224,1.51081644452367,1.42894201127436
10592,EEF2,37.0,1.0,1.0004696962309,0.930673808472168,1.03222742401595,0.852862703038319,0.970748728944855
10593,EEF2,40.4,1.0,1.02130105665894,1.02214434613893,1.01063051455552,0.966611815713101,1.03846937595815
10594,EEF2,44.0,1.0,0.996559463246443,0.960814046270454,1.02914222265486,0.945818761804957,0.966923046721655
10595,EEF2,46.9,1.0,1.0263634853843,1.04421709662731,1.05011909721183,0.862912360850776,0.937389228117321
10596,EEF2,49.8,1.0,1.00716879789673,1.00766634810244,1.01258569394731,0.879672195360621,0.978068377347878
10597,EEF2,52.9,1.0,1.05066366915389,1.00772972517319,1.05957012520189,0.872183414560881,0.930023745403883
10598,EEF2,55.5,1.0,1.05099390516432,1.00226418198401,1.01371738865794,0.830083391635648,0.930763740102577
10599,EEF2,58.6,1.0,0.988196016989503,1.01038533177801,1.01656285524926,0.834092110996633,0.910136518683861
10600,EEF2,62.0,1.0,1.20987856004809,1.16541679751835,1.13781115728261,0.92543702303178,1.0460248517562
10601,EEF2,66.3,1.0,0.96635528699061,1.00862059853765,1.04202512021864,1.11177826658594,1.18360290464984
10602,EEF2K,37.0,1.0,1.00957354090483,1.02735643563427,1.05238723239457,0.819192820525981,0.873850200687317
10603,EEF2K,40.4,1.0,1.00423644795275,0.995744003925392,1.06050894836715,0.878147871570141,0.934315942213411
10604,EEF2K,44.0,1.0,1.01604659132043,0.967545851218287,1.04783335429802,0.941565662021432,0.975461571673621
10605,EEF2K,46.9,1.0,1.00977025009987,1.01291873410519,1.00021692404953,1.07038425060322,1.12416951487611
10607,EEFSEC,37.0,1.0,0.968837590692927,0.8900894265904,0.903004333461556,0.93890287881191,0.904961442241891
10608,EEFSEC,40.4,1.0,0.969213664417675,1.00131339401645,0.98406776620998,1.01049092835554,1.05652891293957
10609,EEFSEC,44.0,1.0,1.00762169452936,0.957123761486602,0.947699085489554,0.942434344874822,1.01090997111361
10610,EEFSEC,46.9,1.0,0.931783911848285,0.940526945760446,0.93899528745375,1.01969981387202,1.00587131631418
10611,EEFSEC,49.8,1.0,1.02250528300538,0.979171680321434,0.895950503396115,1.34037208198659,1.21024802114733
10612,EEFSEC,52.9,1.0,0.705237059919046,0.804532864541881,0.746610653608619,1.84136566802631,1.30851036214406
10617,EFCAB14,46.9,1.0,0.994468087010395,0.994915105260782,1.04852286726692,0.85776942515013,0.8253045427344
10618,EFCAB14,49.8,1.0,1.04404329428474,1.11228188734453,1.09784396019892,0.804418298149338,0.910032428527911
10619,EFCAB14,52.9,1.0,1.06900373248398,1.07475152291386,1.08917166127371,0.907911480771288,0.864912131629874
10620,EFCAB14,55.5,1.0,0.955092698115755,1.08095769332679,1.09222397067086,1.01271301980036,0.791846599566818
10621,EFCAB14,58.6,1.0,0.961274722738274,0.940217704480857,1.45573576922088,0.937716283248216,0.621575304434746
10622,EFCAB14,66.3,1.0,1.0058980351607,0.89651966484431,0.94498418198546,0.877234222150375,0.866378420753556
10623,EFEMP1,37.0,1.0,1.04569263550138,1.13158274052231,1.14712205138557,1.46304687136006,1.37419479200727
10624,EFEMP1,40.4,1.0,1.11161065046387,1.05017864566586,1.14781758530325,1.56712415702702,1.4010188543521
10625,EFEMP1,44.0,1.0,1.05196605816373,1.0920959917124,1.23118238540723,1.63988495618217,1.68282604012409
10626,EFEMP1,46.9,1.0,1.01612995927757,1.06821711965364,1.10963983514809,1.30627001415758,1.2698076057236
10627,EFEMP1,49.8,1.0,1.05096182632828,1.10979916480041,1.12792635800431,1.3370284348807,1.45065381826571
10628,EFEMP1,52.9,1.0,0.999376499473946,1.10117065687003,1.17003581377346,1.5316494011185,1.57039833417133
10629,EFEMP1,55.5,1.0,0.965680559493961,1.06125706020618,1.07086565778739,1.84761218244597,1.70296830377604
10630,EFEMP1,58.6,1.0,1.03800405268284,1.08357545258827,1.08821180522399,2.0601684944039,1.76907479446731
10631,EFEMP1,62.0,1.0,1.0162984877239,1.0245430850324,1.14074156253394,2.15350248245951,2.32142980190614
10632,EFEMP1,66.3,1.0,1.00714928141202,1.0403407798869,1.12404609899385,2.53390872491629,2.14741285855686
10633,EFHD2,37.0,1.0,0.964970210470011,1.01103491192727,0.944275779782697,1.16318480658256,1.14738607842301
