bait,prey,distance,stage,pvalue,interaction
EXOSC9,DIS3,0.171228714301917,earlyS,0.181491414310724,TRUE
EXOSC9,DIS3,0.236145052127028,lateS,0.453942712407345,TRUE
EXOSC9,DIS3,0.202008142643734,S_G2,0.271948448616233,TRUE
EXOSC9,DIS3,1.8499474218799,M,0.830055499683391,FALSE
EXOSC9,EXOSC10,2.68903893627991,G1,0.970033895779789,FALSE
EXOSC9,EXOSC10,0.208737522780471,earlyS,0.331359183521436,TRUE
EXOSC9,EXOSC10,0.173263363944644,lateS,0.22702722836816,TRUE
EXOSC9,EXOSC10,0.181846768408382,S_G2,0.202946325473982,TRUE
EXOSC9,EXOSC10,6.4531045938091,M,0.980854471635564,FALSE
EXOSC2,EXOSC7,0.294148693555856,G1,0.119044958468358,TRUE
EXOSC2,EXOSC7,0.334122262723136,earlyS,0.763753864491377,TRUE
EXOSC2,EXOSC7,0.188091446339043,lateS,0.281446716579134,TRUE
EXOSC2,EXOSC7,0.243400432639013,S_G2,0.421089879688606,TRUE
EXOSC2,EXOSC7,0.277743027553138,M,0.0300964726040154,TRUE
EXOSC2,DIS3,0.559628953127528,G1,0.49072522069505,FALSE
EXOSC2,DIS3,0.237609062086139,earlyS,0.454818042984318,FALSE
EXOSC2,DIS3,0.267950770437892,lateS,0.55829329161545,FALSE
EXOSC2,DIS3,0.196347776857201,S_G2,0.252225574552091,FALSE
EXOSC2,DIS3,1.69217026121518,M,0.795880359071777,FALSE
EXOSC2,EXOSC10,2.44374585203051,G1,0.938037769583194,FALSE
EXOSC2,EXOSC10,0.278923582747211,earlyS,0.614426192870712,FALSE
EXOSC2,EXOSC10,0.171148779417443,lateS,0.220099079971691,FALSE
EXOSC2,EXOSC10,0.23039520691406,S_G2,0.374883599657317,FALSE
EXOSC2,EXOSC10,6.06144969687776,M,0.935951875442321,FALSE
EXOSC7,DIS3,0.525582540636811,G1,0.443978843073714,TRUE
EXOSC7,DIS3,0.184873646116018,earlyS,0.233173166461802,TRUE
EXOSC7,DIS3,0.201350000440454,lateS,0.32912429694193,TRUE
EXOSC7,DIS3,0.15192095906984,S_G2,0.116791447834022,TRUE
EXOSC7,DIS3,1.72961372175963,M,0.804968897828435,FALSE
EXOSC7,EXOSC10,2.48081055719552,G1,0.942619287071181,FALSE
EXOSC7,EXOSC10,0.225298927808273,earlyS,0.402633441352851,TRUE
EXOSC7,EXOSC10,0.13438241696066,lateS,0.110459269192088,TRUE
EXOSC7,EXOSC10,0.161257118434847,S_G2,0.141412448318248,TRUE
EXOSC7,EXOSC10,6.21731331463313,M,0.951782322047156,FALSE
DIS3,EXOSC10,2.04044486726331,G1,0.906134763660744,FALSE
DIS3,EXOSC10,0.178909951816734,earlyS,0.210395947405669,TRUE
DIS3,EXOSC10,0.141441952520619,lateS,0.128487354266771,TRUE
DIS3,EXOSC10,0.219680940431508,S_G2,0.334823257719671,TRUE
DIS3,EXOSC10,4.58852706000174,M,0.904719335493724,FALSE
